link,likes,scraped_at
https://www.tiktok.com/@cripthomasadepan.to2/video/7508357677718801682,344300,2025-11-05 16:52:24
https://www.tiktok.com/@raihsuksesmu/video/7547004327785729298,123700,2025-11-05 16:47:19
https://www.tiktok.com/@hairullz2/video/7220656069792501018,112500,2025-11-05 16:52:24
https://www.tiktok.com/@jagoan.sd/video/7075680837689216282,69200,2025-11-05 16:50:27
https://www.tiktok.com/@useneem05/video/7529524795327745336,63000,2025-11-05 16:47:19
https://www.tiktok.com/@geraldyo_at0/video/7472786989155224849,57100,2025-11-05 16:47:19
https://www.tiktok.com/@dhi.lonk/video/7451818589927099654,54200,2025-11-05 16:47:19
https://www.tiktok.com/@ngertisaham_/video/7556487038409739532,51200,2025-11-05 16:47:19
https://www.tiktok.com/@din_busines/video/7508283111701073208,51100,2025-11-05 16:47:19
https://www.tiktok.com/@kokonft/video/7052276384969788698,50600,2025-11-05 16:50:27
https://www.tiktok.com/@kenwilboy.finance/video/7397299749059169542,46900,2025-11-05 16:52:24
https://www.tiktok.com/@zamatsuu4/video/7482135943604964616,41200,2025-11-05 16:52:24
https://www.tiktok.com/@bitcoin_org/video/7379836119980018949,38900,2025-11-05 16:51:32
https://www.tiktok.com/@bitcoin_org/video/7328759042929708294,32600,2025-11-05 16:46:18
https://www.tiktok.com/@baldybrobryzxz/video/7064435980291296539,32200,2025-11-05 16:50:26
https://www.tiktok.com/@abcd.nyl/video/7493082200879975685,30000,2025-11-05 16:47:18
https://www.tiktok.com/@hou.404/video/7346910419992333574,29800,2025-11-05 16:52:24
https://www.tiktok.com/@theresalearns/video/7325035109978049797,24700,2025-11-05 16:46:17
https://www.tiktok.com/@ajengverr/video/7416658318866926854,22700,2025-11-05 16:46:17
https://www.tiktok.com/@urbeee1/video/7470956904395574583,16300,2025-11-05 16:52:24
https://www.tiktok.com/@bang_andik007/video/7404067096042343685,15500,2025-11-05 16:46:17
https://www.tiktok.com/@portalkebenaran/video/7315222049574620421,15300,2025-11-05 16:52:24
https://www.tiktok.com/@sarjanatrading/video/7448930794992569605,14300,2025-11-05 16:52:24
https://www.tiktok.com/@donnymosaja/video/7559159011694677259,13100,2025-11-05 16:47:19
https://www.tiktok.com/@cryptowaveid/video/7567279478422998290,12100,2025-11-05 16:52:24
https://www.tiktok.com/@picopops/video/7475027829285997829,10800,2025-11-05 16:50:27
https://www.tiktok.com/@cryptowavegabrielrey99/video/7566943324163083527,10700,2025-11-05 16:51:32
https://www.tiktok.com/@kokonft/video/7062923498267757850,10600,2025-11-05 16:50:26
https://www.tiktok.com/@ajengverr/video/7552765780820086034,9099,2025-11-05 16:46:17
https://www.tiktok.com/@qi_trader/video/7386178518972943621,8605,2025-11-05 16:52:24
https://www.tiktok.com/@abenx25/video/7460286110476799240,8068,2025-11-05 16:52:24
https://www.tiktok.com/@tradewithsuli/video/7532766615687957816,7333,2025-11-05 16:46:17
https://www.tiktok.com/@kadri.crypto.insi/video/7525702443821174024,7226,2025-11-05 16:47:19
https://www.tiktok.com/@klip4sw/video/7566934725588159762,6274,2025-11-05 16:47:18
https://www.tiktok.com/@billionairesaham_/video/7560291939938143496,6237,2025-11-05 16:51:32
https://www.tiktok.com/@oncaindskm3/video/7553228359120014648,6130,2025-11-05 16:46:17
https://www.tiktok.com/@mglschan/video/7455305992352419078,6051,2025-11-05 16:52:25
https://www.tiktok.com/@hou.404/video/7495352487675727110,5577,2025-11-05 16:51:32
https://www.tiktok.com/@akangsidik24/video/7554012099207302456,5314,2025-11-05 16:52:24
https://www.tiktok.com/@hidupreceh/video/7072788606196157722,5206,2025-11-05 16:50:26
https://www.tiktok.com/@ussfeeds/video/7057430777880956186,5182,2025-11-05 16:50:27
https://www.tiktok.com/@clipcoin21/video/7568461555356929298,4521,2025-11-05 16:47:19
https://www.tiktok.com/@ngomongin_web3/video/7514859640866245944,3770,2025-11-05 16:51:32
https://www.tiktok.com/@ultramenpalembang97/video/7346297156401220870,3454,2025-11-05 16:50:27
https://www.tiktok.com/@wathcermanyu/video/7566830707092311317,3287,2025-11-05 16:47:18
https://www.tiktok.com/@cryptotenang/video/7566812063939546375,3124,2025-11-05 16:52:25
https://www.tiktok.com/@invesin.media/video/7568703850333342994,2814,2025-11-05 16:52:24
https://www.tiktok.com/@kadri.crypto.insi/video/7528743191818865938,2713,2025-11-05 16:47:18
https://www.tiktok.com/@cryptomediaclips/video/7568799321194368276,2643,2025-11-05 16:47:19
https://www.tiktok.com/@learnwithm1racle/video/7488863478795521287,2447,2025-11-05 16:46:17
https://www.tiktok.com/@akademibitorex/video/7535330627248213264,2440,2025-11-05 16:47:19
https://www.tiktok.com/@oscardarmawanyap/video/7384308726166981893,2021,2025-11-05 16:46:16
https://www.tiktok.com/@timothyronaldmax/video/7558310844841331980,1931,2025-11-05 16:52:25
https://www.tiktok.com/@digitalmerdeka.id/video/7568974459185532168,1831,2025-11-05 16:47:18
https://www.tiktok.com/@afkistorereall/video/7440741950174596407,1624,2025-11-05 16:52:24
https://www.tiktok.com/@wayphantomme/video/7535668521221573906,1433,2025-11-05 16:46:17
https://www.tiktok.com/@blockchainoffindonesia/video/7565243664205696263,1374,2025-11-05 16:46:17
https://www.tiktok.com/@ngomongin_web3/video/7520801806113312056,1361,2025-11-05 16:46:18
https://www.tiktok.com/@velonia.ai/video/7541732145987865862,1232,2025-11-05 16:51:32
https://www.tiktok.com/@jourdan82/video/7568832478182395154,1086,2025-11-05 16:51:32
